date,article,quantity
2022-02-16,287,208
2022-02-16,174,16
2022-02-16,66,16
2022-02-16,354,16
2022-02-16,124,16
2022-02-16,137,32
2022-02-16,44,16
2022-02-16,201,32
2022-02-16,85,32
2022-02-16,430,16
2022-03-04,287,160
2022-03-04,137,320
2022-03-04,490,96
2022-03-07,176,64
2022-03-07,182,160
2022-03-07,265,160
2022-03-07,35,80
2022-03-07,67,96
2022-03-07,319,32
2022-03-11,287,128
2022-03-11,53,320
2022-03-11,137,320
2022-03-11,369,80
2022-03-11,375,96
2022-03-14,53,272
2022-03-14,333,32
2022-03-14,137,320
2022-03-14,375,320
2022-03-15,287,272
2022-03-15,333,32
2022-03-15,137,320
2022-03-15,375,320
2022-03-16,53,320
2022-03-16,137,32
2022-03-16,61,80
2022-03-16,490,320
2022-03-16,324,80
2022-03-16,279,112
2022-03-17,53,128
2022-03-17,239,112
2022-03-18,287,320
2022-03-18,53,320
2022-03-18,490,64
2022-03-18,324,80
2022-03-18,369,160
2022-03-21,53,32
2022-03-21,61,160
2022-03-21,239,160
2022-03-23,287,176
2022-03-23,137,320
2022-03-23,61,80
2022-03-23,324,48
2022-03-23,239,80
2022-03-23,375,80
2022-03-24,287,144
2022-03-24,53,320
2022-03-24,137,320
2022-03-24,369,160
2022-03-25,287,320
2022-03-25,53,96
2022-03-25,137,320
2022-03-25,375,208
2022-03-28,53,320
2022-03-28,137,320
2022-03-28,494,304
2022-03-29,53,64
2022-03-29,482,192
2022-03-29,137,320
2022-03-29,311,320
2022-03-29,494,48
2022-03-30,287,176
2022-03-30,482,32
2022-03-30,137,320
2022-03-30,375,64
2022-03-30,311,32
2022-03-30,21,320
2022-03-31,137,320
2022-03-31,162,80
2022-03-31,375,320
2022-03-31,21,224
2022-04-01,137,320
2022-04-01,369,320
2022-04-01,311,304
2022-04-04,103,176
2022-04-04,137,320
2022-04-04,369,128
2022-04-04,311,320
2022-04-05,287,160
2022-04-05,103,144
2022-04-05,137,320
2022-04-05,311,320
2022-04-06,287,320
2022-04-06,137,320
2022-04-06,375,304
2022-04-07,287,160
2022-04-07,333,320
2022-04-07,137,160
2022-04-07,490,304
2022-04-08,333,320
2022-04-08,391,320
2022-04-08,61,288
2022-04-08,490,16
2022-04-11,287,144
2022-04-11,103,320
2022-04-11,482,32
2022-04-11,67,32
2022-04-11,311,320
2022-04-11,494,96
2022-04-12,287,304
2022-04-12,103,320
2022-04-12,311,320
2022-04-13,176,96
2022-04-13,103,16
2022-04-13,319,64
2022-04-13,311,320
2022-04-15,158,16
2022-04-18,79,320
2022-04-18,102,256
2022-04-18,494,48
2022-04-18,173,320
2022-04-19,103,256
2022-04-19,79,320
2022-04-19,311,320
2022-04-19,173,48
2022-04-20,103,304
2022-04-20,79,320
2022-04-20,311,320
2022-04-21,287,32
2022-04-21,103,16
2022-04-21,223,176
2022-04-21,79,80
2022-04-21,311,320
2022-04-21,21,320
2022-04-22,403,320
2022-04-22,223,320
2022-04-22,21,304
2022-04-25,213,64
2022-04-25,103,240
2022-04-25,369,320
2022-04-25,311,320
2022-04-26,287,176
2022-04-26,103,320
2022-04-26,369,128
2022-04-26,311,320
2022-04-27,287,320
2022-04-27,12,288
2022-04-27,162,224
2022-04-27,311,112
2022-04-28,287,320
2022-04-28,404,304
2022-04-28,162,320
2022-04-29,158,64
2022-04-29,287,192
2022-04-29,404,320
2022-04-29,162,320
2022-04-29,437,48
2022-05-02,66,128
2022-05-02,333,208
2022-05-02,404,64
2022-05-02,182,48
2022-05-02,122,48
2022-05-02,265,32
2022-05-02,162,96
2022-05-02,437,320
2022-05-03,482,32
2022-05-03,404,16
2022-05-03,223,128
2022-05-03,79,320
2022-05-03,311,96
2022-05-03,494,32
2022-05-03,21,320
2022-05-04,404,320
2022-05-04,110,48
2022-05-04,208,64
2022-05-04,79,176
2022-05-04,437,16
2022-05-04,21,320
2022-05-05,333,192
2022-05-05,404,320
2022-05-05,305,16
2022-05-05,41,48
2022-05-05,437,320
2022-05-05,21,48
2022-05-06,404,320
2022-05-06,305,304
2022-05-06,437,320
2022-05-09,404,320
2022-05-09,162,192
2022-05-09,311,304
2022-05-09,437,128
2022-05-10,66,16
2022-05-10,404,16
2022-05-10,391,64
2022-05-10,61,320
2022-05-10,162,320
2022-05-10,319,32
2022-05-10,311,112
2022-05-10,437,64
2022-05-11,61,48
2022-05-11,110,64
2022-05-11,164,32
2022-05-11,35,128
2022-05-13,61,80
2022-05-13,369,160
2022-05-16,4,96
2022-05-16,171,320
2022-05-16,314,208
2022-05-16,409,320
2022-05-17,409,272
2022-05-17,75,32
2022-05-17,67,32
2022-05-18,176,160
2022-05-18,66,112
2022-05-23,459,64
2022-05-23,267,112
2022-05-23,314,320
2022-05-23,409,272
2022-05-23,205,176
2022-05-24,452,80
2022-05-24,459,320
2022-05-24,158,80
2022-05-24,169,320
2022-05-24,67,144
2022-05-25,452,16
2022-05-25,459,320
2022-05-25,475,16
2022-05-25,169,272
2022-05-25,369,320
2022-05-26,133,320
2022-05-26,369,160
2022-05-26,328,112
2022-05-26,319,192
2022-05-27,61,80
2022-05-27,369,160
2022-05-30,333,320
2022-05-30,169,96
2022-05-30,314,80
2022-05-30,133,320
2022-05-30,75,96
2022-05-30,328,32
2022-05-31,176,48
2022-05-31,66,48
2022-05-31,120,320
2022-05-31,333,320
2022-05-31,133,32
2022-05-31,490,32
2022-05-31,328,144
2022-06-01,333,48
2022-06-01,130,320
2022-06-01,342,256
2022-06-01,194,320
2022-06-02,432,176
2022-06-02,120,320
2022-06-02,333,128
2022-06-02,82,320
2022-06-03,432,16
2022-06-03,120,304
2022-06-03,82,240
2022-06-03,369,160
2022-06-06,120,32
2022-06-07,432,320
2022-06-07,82,304
2022-06-07,75,32
2022-06-07,168,112
2022-06-08,207,80
2022-06-08,137,320
2022-06-08,328,128
2022-06-08,375,320
2022-06-08,205,96
2022-06-09,207,304
2022-06-09,137,320
2022-06-09,375,320
2022-06-10,137,320
2022-06-10,61,160
2022-06-10,375,16
2022-06-13,452,192
2022-06-13,459,320
2022-06-13,4,48
2022-06-13,171,224
2022-06-13,409,80
2022-06-14,66,48
2022-06-14,319,64
2022-06-15,260,320
2022-06-15,207,320
2022-06-15,137,224
2022-06-15,49,80
2022-06-16,207,64
2022-06-17,475,32
2022-06-17,98,320
2022-06-17,350,320
2022-06-22,260,320
2022-06-22,207,256
2022-06-22,279,48
2022-06-22,49,320
2022-06-23,260,320
2022-06-23,279,304
2022-06-23,49,320
2022-06-24,475,80
2022-06-24,260,112
2022-06-27,475,320
2022-06-27,61,320
2022-06-28,176,16
2022-06-28,182,80
2022-06-28,61,80
2022-06-28,110,64
2022-06-28,265,80
2022-06-28,35,96
2022-06-28,319,16
