article_number,article_description,revenue
472,grenoble c8 h53 001 s8 hmb (m) connect,743
434,grenoble  c7+ h57 480 h7 hmb (m),1358
240,arroyo c7  l57 886 s7 hmb elite usa,540
452,heavydutynl c5 h54 690 h5 hmb belt,1156
107,bloom c7  l61 871 s7  hms (m),933
335,medeo t9 city  l45 871 s9 hmb usa,888
484,medeo t10 h50 822 s10 hmb usa,1388
210,chamonix c7  hms  l61 885 s7 (m),1019
292,medeo t10  m50 322 s10 hmb,990
63,arroyo c7+ l61 480 r7h hmb elite (m),953
380,miss grace c7 l54 691 h7 hmb,868
108,grenoble c8 h61 001 s8 hmb (m) connect,729
258,avignon c8 l65 883 s8 hmb connect (m),1201
459,heavydutynl c5 l59 690 h5 hmb belt,1185
489,heavydutynl c5 l54 690 h5 hmb belt,1013
104,grenoble c5  l61 822 s5 hmb belt,884
91,grenoble c8 l49 851 s8 hmb,683
158,ult. c380+ m57 468m se hmb belt usa,1217
475,grenoble c8 l61 001 s8 hmb (m),1153
242,ultimate 1.5 c5 l46 884 s5 hmb (m),979
378,heavydutynl c7 h59 001 h7 hmb (m),1155
203,avignon c380 l65 899 se hmb belt (m),737
206,chamonix t10 hms h53 874 s10,598
448,paris c7 l53 824 h7 hmb (m),857
170,orange c7+ l57 472 h7 hmb (m),890
492,medeo t9 h50 822 s9 hmb usa,1419
176,ult. c380+ h53 468m se hmb belt usa,1249
337,ami c7  l44 690 h7 hms (m),1404
287,arroyo c8  l49 851 r8s hmb elite,1340
286,avignon c380 l46 505 se hmb belt usa (m),637
331,grenoble c8 l49 851 s8 hmb connect,892
95,bloom c380 l49 001 se hms (m),958
491,ultimate 1.5 c5 l61 884 s5 hmb (m),835
327,paris c7 l46 813 h7 hmb (m),979
131,medeo t9 l45 824 s9 hmb usa,770
4,heavydutynl c7 h49 001 h7 hmb (m),1753
174,ultimate c380  h61 468 se m hmb sp.belt,915
288,ultimate c8+ l57 621 s8 hmb belt con (m),921
171,paris c7 l57 824 r7h hmb (m),1795
397,orange c7+ h57 822 h7 hmb,900
88,ultimate 2.0 t11 h60 885 s11 hmb (m),1431
273,ultimate c8+ l46 621 s8 hmb belt con (m),1119
432,orange c7+  l53 681 h7 hmb verhuur,837
222,tour pop.rvs   h57 001     t3,1184
127,tour populair  d51 001     r7t,1028
46,arroyo c5 h53 822 r5s hmb elite belt,655
247,arroyo c7+ l57 480 r7h hmb (m),829
343,avignon c8 l57 883 s8 hmb (m),992
29,arroyo c7+  l57 886 r7h hmb elite,1220
267,heavydutynl c7 l46 001 h7 hmb (m),1238
447,chamonix c5 hms l49 883 s5 (m),863
101,marco polo t8  h61 874 s8 (m) urban,954
329,orange c8 l57 690 h8 hmb,1422
355,miss grace c7+ l46 001 r7h hmb (m),569
237,medeo t9 l50 375 s9 hmb usa,1504
393,orange c7+ h61 822 h7 hmb,854
297,grenoble c8 l49 001 s8 hmb (m),871
135,heavydutynl c7+ h49 851 h7 hmb (m),1241
457,esprit h49 884 s7 hms (m),880
401,miss grace c7+ l54 001 r7h hmb (m),671
467,paris c7 l61 813 r7h hmb (m),569
213,grenoble c8  l61 464 s8 hmb verhuur,1352
66,ult. c380+ h57 468m se hmb belt usa,1186
103,orange c7+ l57 887 h7 hmb,1348
81,medeo t10 m50 322 s10 hmb usa,1389
290,grenoble c8 l61 851 s8 hmb connect,1192
395,paris c7+ h53 001 r7h hmb (m),830
334,orange c8 h61 001 h8 (m) hmb,614
53,grenoble c8  l57 464 s8 hmb verhuur,1463
388,arroyo c7+ l61 001 r7h hmb (m),1310
309,medeo t9 l45 375 s9 hmb usa,1055
24,arroyo c8  l61 851 r8s hmb elite,582
148,chamonix c7  hms  l49 885 s7 (m),1555
120,miss grace c7+ l54 886 r7h hmb (m),1073
333,arroyo c7  l53 480 s7 hmb elite usa (m),1161
96,arroyo c5 l61 621 r5s hmb elite belt (m),1421
25,medeo t10 m45 322 s10 hmb usa,962
493,esprit h54 867 s7 belt (m),677
450,paris c7+ l53 001 r7h hmb (m),1417
438,miss grace c7 l64 001 h7 hmb (m),841
436,paris c7 l57 813 h7 hmb (m),684
261,marco polo t8  h57 874 s8 (m) urban,1464
179,esprit l46 850 s7 hms (m),614
190,esprit l64 884 s7 hms (m),1026
302,ultimate 1.5 c380 h65 899 se hmb (m),1474
462,arroyo c5 l61 822 r5s hmb elite belt,1066
57,avignon c8 l61 883 s8 hmb (m),1130
354,medeo t10 h55 871 s10 hmb,363
427,miss grace c7+ l49 896 r7h hmb,1180
365,avignon hmb belt test  l53 464 se,828
8,arr. 1.2 c5 l53 822 s5 hmb elit belt usa,1284
458,easyflow  l46 871 s7  hms,623
23,ultimate 1.5 c380 l61 899 se hmb (m),1789
7,bloom c7  l53 871 s7  hms (m),709
304,chamonix c5 hms l57 886 s5,1653
474,paris c7+ l49 322 r7h hmb (m),1514
367,bloom c7  l53 887 s7  hms,1515
211,ultimate 1.5 t10 l49 818 s10 hmb (m),1208
192,marco polo t8  l53 874 s8 (m) urban,1140
169,miss grace c7+ l64 001 r7h hmb (m),1159
426,tour pop. h61 001     t8,961
181,avignon c8 l49 883 s8 hmb (m),662
209,ultimate c8+ l49 375 s8 hmb belt,1414
349,paris c7 l57 824 h7 hmb (m),1456
260,grenoble c8 l53 001 s8 hmb (m),935
301,ultimate 2.0 c380 h60 887 se hmb,1161
256,orange c8 l42 001 h8 (m) hmb 26w,1102
389,medeo t9 h50 822 s9 hmb,779
13,heavydutynl c7+ h59 851 h7 hmb (m),617
326,orange c8 l49 001 h8 hmb (m) connect,1031
117,grenoble c5  h61 822 s5 hmb belt,1073
400,orange c8 l53 001 h8 hmb (m) connect,1344
313,grenoble c8 l49 001 s8 hmb (m) connect,1183
482,arroyo c7+ h57 001 r7h hmb (m),1362
147,tour populair  h57 001     r7t,980
115,ultimate 1.5 c380 l53 899 se hmb (m),1088
277,grenoble  c7+ l57 480 h7 hmb (m),966
254,paris c7 h57 813 h7 hmb (m),1230
232,orange c8 h65 001 h8 hmb (m) connect,759
58,tour pop.rvs   d57 001     t3,1580
62,avignon c380 l53 505 se hmb belt ltd (m),669
12,grenoble  c7+ h61 480 h7 hmb (m),1276
20,ultimate c8+ h61 621 s8 hmb belt (m),1207
446,ultimate 1.5 c380 h53 899 se hmb (m),1154
481,arroyo c7  l46 480 s7 hmb elite usa (m),773
89,medeo t10 m50 820 s10 hmb usa,1197
314,miss grace c7+ l49 001 r7h hmb (m),1445
133,miss grace c7+ l59 001 r7h hmb (m),1132
83,orange c7+ l46 822 h7 hmb,614
188,arroyo c5 l53 621 r5s hmb elite belt (m),1200
124,medeo t10+ m55 690 s10 hmb usa,1046
153,paris c7 l49 824 h7 hmb (m),791
225,bloom c7  l61 887 s7  hms,834
207,grenoble c8 h53 001 s8 hmb (m),995
140,ultimate 2.0 c380 l60 887 se hmb,901
421,grenoble c5  l57 822 s5 hmb belt,1261
22,ultimate c8+ l57 375 s8 hmb belt,831
455,ultimate c8+ l49 621 s8 hmb belt con (m),1369
48,avignon c8 l46 883 s8 hmb connect (m),1132
186,ultimate c8+ l53 375 s8 hmb belt,951
152,medeo t9  l50 822 s9 hmb,1008
137,arroyo c8  l53 001 r8s hmb elite (m),1613
396,ultimate c380  m53 468 se m hmb sp.belt,757
150,bloom c380 l61 887 se hms,1134
180,arroyo c7+  l53 886 r7h hmb elite,1035
283,ami c7  l49 690 h7 hms (m),470
51,chamonix t10 hms h61 874 s10,1723
323,orange c8 l61 001 h8 (m) hmb,295
347,heavydutynl c7+ l59 851 h7 hmb (m),1119
55,paris c7+ l57 001 h7 hmb (m),858
312,arroyo hmb elite test  l53 464 r5s,1022
227,medeo t10+ h55 871 s10 hmb usa,1007
306,avignon c8 l61 896 s8 hmb (m),1056
10,avignon c380 l65 505 se hmb belt ltd (m),636
449,ultimate 1.5 t10 h53 822 s10 hmb,731
6,heavydutynl c7 l54 001 h7 hmb (m),1099
157,chamonix c5 hms h61 883 s5 (m),1061
404,grenoble  c7+ l49 480 h7 hmb (m),1222
243,avignon hmb belt test  l49 464 se,1152
68,heavydutynl c7 l49 001 h7 hmb (m),471
409,heavydutynl c7+ l49 851 h7 hmb (m),1459
442,paris c7 l53 824 r7h hmb (m),898
341,medeo t10+ h45 871 s10 hmb usa,1228
358,ami c7 l49 883 h7  hms,1021
250,ultimate 1.5 t10 h57 822 s10 hmb,845
345,arroyo c5 l49 822 r5s hmb elite belt,984
31,avignon c380 l49 505 se hmb belt (m),1040
199,miss grace c7 l59 001 h7 hmb (m),1097
391,grenoble c8 l46 001 s8 hmb (m),922
332,avignon c8 l61 883 s8 hmb connect (m),441
189,chamonix c5 hms l61 886 s5,568
379,avignon c8 l49 896 s8 hmb (m),1295
59,arroyo c8  l57 001 r8s hmb elite (m),758
366,ultimate 1.5 t10 l53 822 s10 hmb,574
183,paris c7 l49 824 r7h hmb (m),1366
34,paris c7+ l53 001 h7 hmb (m),1084
435,heavydutynl c7 h54 001 h7 hmb (m),1136
485,tour pop. d51 001     t8,781
281,ultimate 1.5 c380 h57 899 se hmb (m),1566
130,ultimate c8+ l61 621 s8 hmb belt (m),1249
220,ultimate c8+ h53 621 s8 hmb belt con (m),1104
118,esprit h59 884 s7 hms (m),1365
182,ultimate t10+  h53 621 s10 hmb usa (m),1180
178,ultimate 1.5 t10 h65 822 s10 hmb,1292
377,miss grace c7 l59 691 h7 hmb,976
129,ultimate c8+ h65 621 s8 hmb belt (m),813
61,grenoble c8 h61 001 s8 hmb (m),901
143,grenoble c8 l53 851 s8 hmb connect,852
364,orange c8 l53 001 h8 (m) hmb,667
363,ultimate c8+ l46 621 s8 hmb belt (m),833
185,orange c7+ l57 822 h7 hmb,1218
221,arroyo c8  l49 001 r8s hmb elite (m),571
478,avignon c8 l65 883 s8 hmb (m),872
0,ultimate 1.5 t10 l61 822 s10 hmb,925
1,chamonix t10 hms l57 874 s10,918
50,orange c7+ l61 472 h7 hmb (m),980
246,grenoble  c7+  l53 886 h7 hmb,972
87,bloom c380 l49 887 se hms,1168
383,ultimate t10+ h53 375 s10 hmb usa,922
407,paris c7 h65 813 h7 hmb (m),1377
271,arr. 1.2 c5 l53 690 r5s hmb elite belt m,1029
423,ultimate c8 l53 690 s8 hmb usa belt (m),807
52,arroyo c7+  l46 001 r7h hmb 26w (m),779
244,ultimate 1.5 c380 l46 899 se hmb (m),1091
488,ultimate c8+ l61 621 s8 hmb belt con (m),646
195,medeo t9 l60 887 s9 hmb,1050
330,bloom c7  l57 871 s7  hms (m),822
110,ultimate t10+ m57 851 s10 hmb usa,871
468,arroyo c7+  l49 886 r7h hmb elite,1098
353,orange c8 l57 690 h8 hmb connect,1099
372,grenoble c8 l53 001 s8 hmb (m) connect,1011
471,esprit l59 867 s7 belt (m),1090
224,arroyo c5 l57 822 r5s hmb elite belt,681
