article_number,component_number,start_date,end_date,quantity
45,28,20201001.0,20220601.0,2
82,975,20210119.0,29991231.0,1
180,955,20201021.0,29991231.0,1
437,530,20201021.0,29991231.0,1
394,332,20201027.0,29991231.0,1
363,745,20201006.0,29991231.0,1
221,1303,20201016.0,29991231.0,2
446,112,20210709.0,29991231.0,1
331,1020,20201009.0,29991231.0,1
57,1220,20211012.0,29991231.0,1
53,1086,20210118.0,29991231.0,1
98,642,20200714.0,29991231.0,1
330,791,20200121.0,29991231.0,1
89,581,20200714.0,29991231.0,1
61,833,20201005.0,29991231.0,1
418,272,20211102.0,29991231.0,1
115,795,20210709.0,29991231.0,1
396,1389,20200714.0,29991231.0,6
157,1167,20191014.0,29991231.0,1
302,543,20210709.0,29991231.0,1
380,619,20201006.0,29991231.0,1
55,110,20210115.0,29991231.0,1
78,1250,20201012.0,29991231.0,1
451,1020,20210115.0,29991231.0,1
343,623,20211012.0,29991231.0,1
204,660,20210114.0,29991231.0,1
153,687,20210114.0,29991231.0,1
175,1236,20201104.0,29991231.0,1
396,1288,20200110.0,29991231.0,1
477,738,20201110.0,29991231.0,1
296,238,20210701.0,29991231.0,1
191,588,20201106.0,29991231.0,1
294,547,20211012.0,29991231.0,1
422,257,20201006.0,29991231.0,2
478,970,20220215.0,29991231.0,1
228,729,20201021.0,29991231.0,1
452,1311,20201104.0,29991231.0,3
72,530,20200902.0,29991231.0,1
241,908,20201104.0,29991231.0,36
208,926,20200402.0,29991231.0,1
414,689,20210203.0,29991231.0,1
197,728,20201104.0,29991231.0,1
152,1209,20201106.0,29991231.0,1
48,274,20210914.0,29991231.0,1
467,171,20210407.0,29991231.0,1
330,996,20200908.0,29991231.0,1
377,242,20210825.0,29991231.0,1
45,184,20210309.0,29991231.0,1
321,342,20210114.0,29991231.0,1
330,150,20200121.0,29991231.0,2
134,1374,20210114.0,29991231.0,1
209,660,20200923.0,29991231.0,1
387,972,20210208.0,29991231.0,1
267,514,20201006.0,29991231.0,1
441,584,20210630.0,29991231.0,1
209,352,20200923.0,29991231.0,1
274,1241,20201209.0,29991231.0,1
354,63,20201106.0,29991231.0,1
295,584,20210317.0,29991231.0,1
22,342,20200923.0,29991231.0,1
469,14,20210920.0,29991231.0,1
32,511,20211012.0,29991231.0,1
111,955,20210114.0,29991231.0,1
357,601,20191219.0,29991231.0,1
411,479,20201119.0,29991231.0,2
316,1328,20201106.0,29991231.0,1
477,802,20201110.0,29991231.0,1
218,776,20210209.0,29991231.0,1
353,191,20200930.0,29991231.0,1
206,814,20191015.0,29991231.0,1
349,108,20210114.0,29991231.0,1
414,186,20201118.0,29991231.0,1
254,1216,20210114.0,29991231.0,36
205,268,20201006.0,29991231.0,1
175,69,20201104.0,29991231.0,1
53,1348,20210118.0,29991231.0,2
230,555,20210317.0,29991231.0,1
433,1325,20201016.0,29991231.0,1
211,1301,20210617.0,29991231.0,1
262,814,20200109.0,29991231.0,1
387,623,20210209.0,29991231.0,1
359,172,20210723.0,29991231.0,2
297,210,20201005.0,29991231.0,1
439,30,20201006.0,29991231.0,1
