,day,day_nr,article_number,quantity_batch,quantity,article_revenue,revenue_total
2042,2022-02-17,1,404,2.0,32.0,19552,625664.0
5826,2022-02-18,2,437,1.0,16.0,19104,305664.0
367,2022-02-21,3,287,13.0,208.0,21440,4459520.0
3228,2022-02-22,4,11,1.0,16.0,16448,263168.0
1695,2022-02-23,5,124,1.0,16.0,16736,267776.0
6285,2022-02-24,6,430,1.0,16.0,26768,428288.0
5194,2022-02-25,7,98,18.0,288.0,20064,5778432.0
814,2022-02-28,8,66,1.0,16.0,18976,303616.0
5026,2022-02-28,8,79,3.0,48.0,24480,1175040.0
476,2022-02-28,8,174,1.0,16.0,14640,234240.0
1843,2022-03-02,10,137,2.0,32.0,25808,825856.0
5341,2022-03-03,11,201,2.0,32.0,12336,394752.0
4783,2022-03-04,12,44,3.0,48.0,28208,1353984.0
1845,2022-03-04,12,137,20.0,320.0,25808,8258560.0
376,2022-03-04,12,287,10.0,160.0,21440,3430400.0
5654,2022-03-04,12,417,6.0,96.0,25072,2406912.0
