,day,day_nr,article_number,quantity_batch,quantity,article_revenue,revenue_total
4216,2022-02-16,1,11,1.0,16.0,16448,16448.0
6562,2022-02-16,1,79,3.0,48.0,24480,73440.0
7620,2022-02-22,5,437,1.0,16.0,19104,19104.0
6788,2022-02-23,6,98,18.0,288.0,20064,361152.0
2216,2022-02-24,7,124,1.0,16.0,16736,16736.0
2677,2022-02-28,9,404,2.0,32.0,19552,39104.0
622,2022-03-02,11,174,1.0,16.0,14640,14640.0
8221,2022-03-02,11,430,1.0,16.0,26768,26768.0
1065,2022-03-03,12,66,1.0,16.0,18976,18976.0
6981,2022-03-03,12,201,1.0,16.0,12336,12336.0
2409,2022-03-04,13,137,22.0,352.0,25808,567776.0
488,2022-03-04,13,287,23.0,368.0,21440,493120.0
7390,2022-03-04,13,417,6.0,96.0,25072,150432.0
5046,2022-03-08,15,265,9.0,144.0,18832,169488.0
7325,2022-03-09,16,385,5.0,80.0,16992,84960.0
6255,2022-03-10,17,44,4.0,64.0,28208,112832.0
3450,2022-03-10,17,52,2.0,32.0,12464,24928.0
6663,2022-03-10,17,67,8.0,128.0,21952,175616.0
458,2022-03-10,17,176,10.0,160.0,19984,199840.0
3110,2022-03-10,17,182,10.0,160.0,18880,188800.0
476,2022-03-11,1,287,8.0,128.0,21440,171520.0
7378,2022-03-11,1,417,32.0,512.0,25072,802304.0
7616,2022-03-11,1,437,25.0,400.0,19104,477600.0
8194,2022-03-11,1,469,5.0,80.0,16464,82320.0
1157,2022-03-14,2,53,50.0,800.0,23408,1170400.0
2398,2022-03-14,2,137,18.0,288.0,25808,464544.0
6938,2022-03-15,3,102,2.0,32.0,22736,45472.0
7618,2022-03-15,3,437,66.0,1056.0,19104,1260864.0
6786,2022-03-16,4,98,20.0,320.0,20064,401280.0
2400,2022-03-16,4,137,37.0,592.0,25808,954896.0
479,2022-03-16,4,287,17.0,272.0,21440,364480.0
4730,2022-03-17,5,77,7.0,112.0,18016,126112.0
2401,2022-03-17,5,137,57.0,912.0,25808,1471056.0
4628,2022-03-17,5,348,5.0,80.0,22816,114080.0
4084,2022-03-17,5,369,5.0,80.0,25696,128480.0
4731,2022-03-18,6,77,5.0,80.0,18016,90080.0
7825,2022-03-18,6,173,23.0,368.0,23728,545744.0
481,2022-03-18,6,287,20.0,320.0,21440,428800.0
4000,2022-03-18,6,305,6.0,96.0,17984,107904.0
4629,2022-03-18,6,348,10.0,160.0,22816,228160.0
4085,2022-03-18,6,369,10.0,160.0,25696,256960.0
1162,2022-03-21,7,53,36.0,576.0,23408,842688.0
7622,2022-03-21,7,437,38.0,608.0,19104,725952.0
3441,2022-03-22,8,52,2.0,32.0,12464,24928.0
1061,2022-03-22,8,66,6.0,96.0,18976,113856.0
4733,2022-03-22,8,77,5.0,80.0,18016,90080.0
6943,2022-03-22,8,102,14.0,224.0,22736,318304.0
3526,2022-03-22,8,110,5.0,80.0,13936,69680.0
7572,2022-03-22,8,149,20.0,320.0,25712,514240.0
7742,2022-03-22,8,494,22.0,352.0,22912,504064.0
4734,2022-03-23,9,77,5.0,80.0,18016,90080.0
6791,2022-03-23,9,98,4.0,64.0,20064,80256.0
2405,2022-03-23,9,137,25.0,400.0,25808,645200.0
4666,2022-03-23,9,208,2.0,32.0,15760,31520.0
484,2022-03-23,9,287,11.0,176.0,21440,235840.0
3935,2022-03-23,9,324,3.0,48.0,17344,52032.0
4632,2022-03-23,9,348,5.0,80.0,22816,114080.0
8202,2022-03-23,9,469,5.0,80.0,16464,82320.0
1929,2022-03-23,9,482,14.0,224.0,21792,305088.0
2406,2022-03-24,10,137,28.0,448.0,25808,722624.0
7574,2022-03-24,10,149,2.0,32.0,25712,51424.0
485,2022-03-24,10,287,5.0,80.0,21440,107200.0
893,2022-03-24,10,329,3.0,48.0,22752,68256.0
4089,2022-03-24,10,369,10.0,160.0,25696,256960.0
7387,2022-03-24,10,417,26.0,416.0,25072,651872.0
2407,2022-03-25,11,137,56.0,896.0,25808,1445248.0
486,2022-03-25,11,287,13.0,208.0,21440,278720.0
4634,2022-03-25,11,348,5.0,80.0,22816,114080.0
7134,2022-03-28,12,311,74.0,1184.0,22272,1648128.0
2409,2022-03-29,13,137,74.0,1184.0,25808,1909792.0
7136,2022-03-30,14,311,74.0,1184.0,22272,1648128.0
1170,2022-03-31,15,53,11.0,176.0,23408,257488.0
1085,2022-03-31,15,103,5.0,80.0,21568,107840.0
2411,2022-03-31,15,137,26.0,416.0,25808,671008.0
7137,2022-03-31,15,311,24.0,384.0,22272,534528.0
7392,2022-03-31,15,417,8.0,128.0,25072,200576.0
6577,2022-04-01,16,79,30.0,480.0,24480,734400.0
2412,2022-04-01,16,137,16.0,256.0,25808,412928.0
4095,2022-04-01,16,369,28.0,448.0,25696,719488.0
2413,2022-04-04,17,137,37.0,592.0,25808,954896.0
7581,2022-04-04,17,149,37.0,592.0,25712,951344.0
1071,2022-04-05,1,103,34.0,544.0,21568,733312.0
8045,2022-04-11,5,21,58.0,928.0,21040,1220320.0
4630,2022-04-13,7,348,29.0,464.0,22816,661664.0
7130,2022-04-14,8,311,74.0,1184.0,22272,1648128.0
7318,2022-04-15,9,385,1.0,16.0,16992,16992.0
1929,2022-04-15,9,482,2.0,32.0,21792,43584.0
7743,2022-04-15,9,494,6.0,96.0,22912,137472.0
6571,2022-04-18,10,79,32.0,512.0,24480,783360.0
485,2022-04-18,10,287,18.0,288.0,21440,385920.0
1267,2022-04-18,10,333,14.0,224.0,18576,260064.0
4633,2022-04-18,10,348,7.0,112.0,22816,159712.0
7744,2022-04-18,10,494,3.0,48.0,22912,68736.0
486,2022-04-19,11,287,74.0,1184.0,21440,1586560.0
1269,2022-04-20,12,333,74.0,1184.0,18576,1374624.0
2069,2022-04-21,13,12,18.0,288.0,20416,367488.0
8053,2022-04-21,13,21,15.0,240.0,21040,315600.0
7135,2022-04-21,13,311,15.0,240.0,22272,334080.0
1270,2022-04-21,13,333,6.0,96.0,18576,111456.0
2681,2022-04-21,13,404,20.0,320.0,19552,391040.0
2682,2022-04-22,14,404,61.0,976.0,19552,1192672.0
7629,2022-04-22,14,437,13.0,208.0,19104,248352.0
5964,2022-04-25,15,35,11.0,176.0,13280,146080.0
1085,2022-04-25,15,103,17.0,272.0,21568,366656.0
490,2022-04-25,15,287,8.0,128.0,21440,171520.0
6695,2022-04-25,15,319,6.0,96.0,17856,107136.0
4094,2022-04-25,15,369,32.0,512.0,25696,822272.0
1086,2022-04-26,16,103,3.0,48.0,21568,64704.0
7138,2022-04-26,16,311,71.0,1136.0,22272,1581312.0
1070,2022-04-27,17,66,2.0,32.0,18976,37952.0
3535,2022-04-27,17,110,2.0,32.0,13936,27872.0
305,2022-04-27,17,158,2.0,32.0,19472,38944.0
5269,2022-04-27,17,162,24.0,384.0,20224,485376.0
4878,2022-04-27,17,164,2.0,32.0,11088,22176.0
458,2022-04-27,17,176,2.0,32.0,19984,39968.0
3110,2022-04-27,17,182,3.0,48.0,18880,56640.0
4674,2022-04-27,17,208,2.0,32.0,15760,31520.0
5048,2022-04-27,17,265,3.0,48.0,18832,56496.0
492,2022-04-27,17,287,32.0,512.0,21440,686080.0
5954,2022-05-04,5,35,2.0,32.0,13280,26560.0
6261,2022-05-05,6,168,36.0,576.0,11120,400320.0
2861,2022-05-05,6,391,38.0,608.0,14752,560576.0
8047,2022-05-06,7,21,21.0,336.0,21040,441840.0
7300,2022-05-09,8,218,43.0,688.0,26768,1151024.0
6723,2022-05-10,9,194,10.0,160.0,19536,195360.0
1929,2022-05-10,9,482,2.0,32.0,21792,43584.0
6265,2022-05-11,10,168,12.0,192.0,11120,133440.0
1267,2022-05-11,10,333,25.0,400.0,18576,464400.0
2865,2022-05-11,10,391,9.0,144.0,14752,132768.0
2678,2022-05-11,10,404,26.0,416.0,19552,508352.0
5263,2022-05-12,11,162,5.0,80.0,20224,101120.0
1744,2022-05-12,11,209,3.0,48.0,22624,67872.0
6691,2022-05-12,11,319,2.0,32.0,17856,35712.0
724,2022-05-12,11,432,32.0,512.0,13392,428544.0
8052,2022-05-13,12,21,26.0,416.0,21040,547040.0
1065,2022-05-13,12,66,1.0,16.0,18976,18976.0
6794,2022-05-13,12,98,11.0,176.0,20064,220704.0
1881,2022-05-13,12,117,5.0,80.0,17168,85840.0
1048,2022-05-13,12,213,3.0,48.0,21632,64896.0
4091,2022-05-13,12,369,4.0,64.0,25696,102784.0
28,2022-05-13,12,434,21.0,336.0,21728,456288.0
317,2022-05-13,12,475,3.0,48.0,18448,55344.0
6659,2022-05-16,13,67,2.0,32.0,21952,43904.0
1695,2022-05-16,13,169,37.0,592.0,18544,686128.0
233,2022-05-16,13,459,35.0,560.0,18960,663600.0
6575,2022-05-17,14,79,31.0,496.0,24480,758880.0
1254,2022-05-17,14,120,22.0,352.0,17168,377696.0
846,2022-05-17,14,267,6.0,96.0,19808,118848.0
3141,2022-05-17,14,377,3.0,48.0,15616,46848.0
234,2022-05-17,14,459,12.0,192.0,18960,227520.0
1068,2022-05-18,15,66,7.0,112.0,18976,132832.0
660,2022-05-18,15,171,21.0,336.0,28720,603120.0
456,2022-05-18,15,176,5.0,80.0,19984,99920.0
2156,2022-05-18,15,314,18.0,288.0,23120,416160.0
4723,2022-05-18,15,328,23.0,368.0,17584,404432.0
610,2022-05-19,16,4,6.0,96.0,28048,168288.0
2157,2022-05-19,16,314,68.0,1088.0,23120,1572160.0
3841,2022-05-20,17,75,5.0,80.0,19648,98240.0
6578,2022-05-20,17,79,21.0,336.0,24480,514080.0
6799,2022-05-20,17,98,11.0,176.0,20064,220704.0
1257,2022-05-20,17,120,20.0,320.0,17168,343360.0
458,2022-05-20,17,176,5.0,80.0,19984,99920.0
7377,2022-05-20,17,205,6.0,96.0,20512,123072.0
730,2022-05-20,17,432,6.0,96.0,13392,80352.0
221,2022-05-23,1,459,42.0,672.0,18960,796320.0
6648,2022-05-24,2,67,9.0,144.0,21952,197568.0
290,2022-05-24,2,158,5.0,80.0,19472,97360.0
6787,2022-05-27,5,98,12.0,192.0,20064,240768.0
2727,2022-06-01,8,409,12.0,192.0,23344,280128.0
1062,2022-06-02,9,66,3.0,48.0,18976,56928.0
3833,2022-06-02,9,75,5.0,80.0,19648,98240.0
450,2022-06-02,9,176,3.0,48.0,19984,59952.0
1266,2022-06-02,9,333,46.0,736.0,18576,854496.0
4632,2022-06-02,9,348,5.0,80.0,22816,114080.0
1250,2022-06-03,10,120,16.0,256.0,17168,274688.0
1267,2022-06-03,10,333,7.0,112.0,18576,130032.0
4089,2022-06-03,10,369,51.0,816.0,25696,1310496.0
6725,2022-06-06,11,194,55.0,880.0,19536,1074480.0
7286,2022-06-06,11,298,10.0,160.0,13424,134240.0
4719,2022-06-06,11,328,8.0,128.0,17584,140672.0
4328,2022-06-06,11,342,1.0,16.0,18608,18608.0
606,2022-06-07,12,4,3.0,48.0,28048,84144.0
3683,2022-06-07,12,357,59.0,944.0,16832,993088.0
2409,2022-06-08,13,137,51.0,816.0,25808,1316208.0
4330,2022-06-08,13,342,6.0,96.0,18608,111648.0
2410,2022-06-09,14,137,74.0,1184.0,25808,1909792.0
3057,2022-06-10,15,130,12.0,192.0,19984,239808.0
711,2022-06-10,15,273,38.0,608.0,17904,680352.0
4332,2022-06-10,15,342,14.0,224.0,18608,260512.0
4638,2022-06-10,15,348,10.0,160.0,22816,228160.0
661,2022-06-13,16,171,14.0,224.0,28720,402080.0
4724,2022-06-13,16,328,6.0,96.0,17584,105504.0
355,2022-06-13,16,378,21.0,336.0,18480,388080.0
2735,2022-06-13,16,409,11.0,176.0,23344,256784.0
236,2022-06-13,16,459,9.0,144.0,18960,170640.0
1070,2022-06-14,17,66,3.0,48.0,18976,56928.0
3841,2022-06-14,17,75,7.0,112.0,19648,137536.0
3059,2022-06-14,17,130,2.0,32.0,19984,39968.0
6697,2022-06-14,17,319,16.0,256.0,17856,285696.0
1648,2022-06-14,17,367,6.0,96.0,24240,145440.0
7029,2022-06-22,6,463,56.0,896.0,20288,1136128.0
6951,2022-06-24,8,417,52.0,832.0,25072,1303744.0
1096,2022-06-27,9,53,6.0,96.0,23408,140448.0
7033,2022-06-28,10,463,74.0,1184.0,20288,1501312.0
7034,2022-06-29,11,463,74.0,1184.0,20288,1501312.0
7035,2022-06-30,12,463,74.0,1184.0,20288,1501312.0
6396,2022-07-01,13,98,24.0,384.0,20064,481536.0
7036,2022-07-01,13,463,50.0,800.0,20288,1014400.0
2925,2022-07-04,14,182,5.0,80.0,18880,94400.0
2573,2022-07-04,14,409,11.0,176.0,23344,256784.0
6957,2022-07-04,14,417,38.0,608.0,25072,952736.0
7037,2022-07-04,14,463,19.0,304.0,20288,385472.0
7038,2022-07-05,15,463,74.0,1184.0,20288,1501312.0
2879,2022-07-06,16,130,7.0,112.0,19984,139888.0
2271,2022-07-06,16,137,49.0,784.0,25808,1264592.0
2927,2022-07-06,16,182,2.0,32.0,18880,37760.0
6959,2022-07-06,16,417,16.0,256.0,25072,401152.0
657,2022-07-08,2,273,5.0,80.0,17904,89520.0
5970,2022-07-11,3,17,2.0,32.0,5616,11232.0
1906,2022-07-11,3,58,2.0,32.0,25280,50560.0
1570,2022-07-11,3,192,7.0,112.0,18240,127680.0
4163,2022-07-12,4,226,37.0,592.0,19520,722240.0
822,2022-07-15,7,101,4.0,64.0,15264,61056.0
7526,2022-07-15,7,408,2.0,32.0,18640,37280.0
4519,2022-07-18,8,111,11.0,176.0,24672,271392.0
4520,2022-07-19,9,111,64.0,1024.0,24672,1579008.0
3192,2022-07-19,9,407,10.0,160.0,22032,220320.0
4521,2022-07-20,10,111,74.0,1184.0,24672,1825728.0
1882,2022-07-21,11,254,25.0,400.0,19680,492000.0
1258,2022-07-21,11,450,7.0,112.0,22672,158704.0
6347,2022-07-22,12,233,74.0,1184.0,18672,1381728.0
620,2022-07-25,13,171,74.0,1184.0,28720,2125280.0
621,2022-07-26,14,171,74.0,1184.0,28720,2125280.0
4526,2022-07-27,15,111,48.0,768.0,24672,1184256.0
623,2022-07-28,16,171,22.0,352.0,28720,631840.0
1583,2022-07-28,16,192,2.0,32.0,18240,36480.0
6351,2022-07-28,16,233,8.0,128.0,18672,149376.0
1311,2022-07-28,16,261,9.0,144.0,23424,210816.0
5839,2022-07-28,16,381,9.0,144.0,20704,186336.0
3439,2022-07-28,16,429,10.0,160.0,23392,233920.0
5408,2022-07-29,1,27,1.0,16.0,20288,20288.0
6945,2022-08-01,2,417,74.0,1184.0,25072,1855328.0
322,2022-08-02,3,378,18.0,288.0,18480,332640.0
290,2022-08-02,3,475,56.0,896.0,18448,1033088.0
1667,2022-08-03,4,260,65.0,1040.0,14960,972400.0
2819,2022-08-03,4,435,9.0,144.0,18176,163584.0
2132,2022-08-04,5,207,43.0,688.0,15920,684560.0
1796,2022-08-04,5,313,31.0,496.0,18928,586768.0
6389,2022-08-05,6,98,6.0,96.0,20064,120384.0
1669,2022-08-05,6,260,68.0,1088.0,14960,1017280.0
2870,2022-08-08,7,130,5.0,80.0,19984,99920.0
