component_number,component_description,follow_up_component
156,frame l65 avignon hmb,
926,bel decibel xxl zwart,
1353,remarmstrop 403 (rvs) ed zwart,
532,alu accustrip active v2,
328,kunststofschroef torx sts plus 4x11mm,
956,slot axa e-lock v3 zwt,
1261,kit cradle / damper plate,
133,v.rem hs11eco.right.lever 750mm evo2 w/o,
577,kunststof kabelgeleider ultimate,
391,frame h61 ultimate beltdrive (2015),
1347,bub 42-622 zwt/bru con city ride,
821,bracketbeugel hesling gen4 boost,
1142,kett.kast sp28 neutr.z/scr. zwt t.pop,
972,cover powertube ultimate,
1255,accu slede,
453,beltspanner avignon,
878,disc brake rear tektro hd-r280 1650mm,
1351,bosch power cable acculader usa,
46,zadelstrop zwart,
810,motor cover bosch gen3 tbv iot links zwt,
1373,kett.scherm ultimate s8 alu zwt mat epac,
1183,kett. kmc x8-93s 1/2x3/32 100sch.,
1289,pedalen fp-972 9/16 alu-body zvr/zwt v2,
1305,alu accustrip active,532.0
909,balh.stel mhspec. zndr cap,
723,a.rem hs11eco.left.lever 2050mm evo2 w/o,
1291,drager zwt (m) chamonix my21,
232,frame m50 medeo hmb powertube gen3,
383,"spaak 13-267-2,0 rvs 18/7",
1105,design cover left/bottom  bes3,
963,z-reflector orange 306/22keb-1,
937,nokplaat (non turn washer),
1052,powertube cable 820mm w/o charging sock.,
445,frame m55 medeo hmb powertube gen3,
726,a.drager 51cm toer exp. m/veer ruw,
183,nippel 14 sapim,
1089,ventielmagneet bosch bes3,
1185,"stangkop m10x30x1,5 rvs a2",
415,handvat basis 88mm rechts zwt,
1139,frame h53 paris hmb (2022),
283,"spaak 13-282-2,0 rvs dt",
637,frame l57 grenoble direct mount,
943,vrvrk al disc 55-622 50/487 333mm 001 m,
790,batterij kabel 800mm bes3,
1178,dragerstrip 19 gaten,
974,mont.set alfine ksm8s31a02f0a,
1062,disc brake rear/r bl-mt200 1700mm,
875,frame h45 ultimate 2.0 hmb 750w (2023),
569,spatschermstang steco 365mm zwt,
495,kett.kast linea 3 (lang) kl.851 (m),
1328,zadel s.r. hertz 5093ur zwt,
1215,"zadelp.g.c/hg verend zwt 300 27,2",
1249,v.bord 60mm zwt(m) apollo,
664,achterwiel sensor cable bosch 415mm,
861,rubber tbv slede 8 mm,
