date,article_number,quantity
2022-08-08,369,32
2022-07-18,152,16
2022-06-13,403,80
2022-03-29,239,64
2022-06-24,305,16
2022-08-12,450,20
2022-03-14,490,32
2022-08-12,13,16
2022-02-25,409,32
2022-06-13,304,16
2022-04-11,165,48
2022-04-19,295,48
2022-06-07,405,96
2022-06-27,411,32
2022-06-20,221,32
2022-08-15,391,16
2022-06-27,239,64
2022-06-07,137,64
2022-05-02,132,16
2022-06-13,40,16
2022-06-13,258,8
2022-06-27,325,1
2022-07-04,447,16
2022-05-09,124,16
2022-05-27,486,20
2022-03-17,98,16
2022-06-13,277,48
2022-06-27,207,16
2022-07-11,119,61
2022-05-27,223,27
2022-04-22,180,64
2022-06-10,249,16
2022-06-03,146,20
2022-08-08,297,32
2022-06-27,224,64
2022-08-08,279,64
2022-06-27,279,64
2022-04-11,403,64
2022-08-01,49,64
2022-07-04,278,64
2022-08-12,245,16
2022-06-20,470,16
2022-06-17,139,48
2022-06-24,429,32
2022-06-24,159,16
2022-05-23,78,16
2022-06-24,5,16
2022-04-22,212,96
2022-06-27,490,64
2022-05-27,94,16
2022-06-27,431,96
2022-06-07,156,16
2022-05-30,278,28
2022-06-03,9,16
2022-03-03,380,64
2022-06-27,157,16
2022-06-13,137,64
2022-05-02,281,1
2022-06-24,22,32
2022-04-25,414,16
2022-05-16,152,16
2022-06-20,260,128
2022-03-14,136,32
2022-05-20,170,32
2022-07-01,416,96
2022-07-08,254,20
2022-07-25,137,64
2022-07-11,253,32
2022-06-20,87,16
2022-06-27,431,96
2022-04-08,180,64
2022-06-13,221,64
2022-06-20,202,16
2022-04-25,411,80
2022-07-08,169,16
2022-05-30,343,24
2022-05-16,463,24
2022-04-29,38,32
2022-06-10,476,112
2022-04-15,162,64
2022-06-13,49,80
2022-04-15,149,32
2022-07-11,278,64
2022-05-13,234,32
2022-05-30,59,48
2022-06-20,105,32
2022-06-10,443,20
2022-07-18,145,16
2022-06-27,397,16
2022-04-22,438,16
2022-03-14,438,64
2022-06-20,394,16
2022-08-15,394,16
2022-07-15,171,20
2022-03-28,458,97
2022-07-04,10,16
2022-06-27,433,32
2022-08-05,34,60
2022-05-30,177,16
2022-07-11,330,16
2022-07-01,349,40
2022-07-11,307,16
2022-08-15,39,16
2022-05-06,98,16
2022-03-14,300,64
2022-06-24,376,16
2022-05-13,364,128
2022-06-24,98,16
2022-07-11,336,32
2022-02-17,52,31
2022-08-15,3,56
2022-06-07,61,32
2022-03-09,246,96
2022-07-01,98,16
2022-05-23,150,16
2022-04-01,398,64
2022-03-14,445,16
2022-03-07,284,16
2022-03-28,77,16
2022-05-13,129,32
2022-02-23,487,32
2022-05-02,345,64
2022-07-18,156,16
2022-05-30,475,80
2022-08-15,434,32
2022-05-13,98,16
2022-03-03,437,192
2022-05-09,141,64
2022-06-27,365,1
2022-07-18,137,96
2022-06-17,450,20
2022-04-08,122,16
2022-07-15,351,20
2022-06-27,96,16
2022-08-08,411,64
2022-04-15,255,16
2022-07-11,358,32
2022-05-27,98,16
2022-08-15,411,96
2022-05-20,387,32
2022-05-09,478,8
2022-06-24,401,16
2022-06-20,51,16
2022-04-01,256,16
2022-08-08,313,16
2022-02-21,339,112
2022-07-08,272,32
2022-03-28,33,32
2022-05-30,219,16
2022-06-24,198,32
2022-07-04,244,8
2022-05-30,59,32
2022-04-19,73,1
2022-07-01,180,32
2022-06-13,274,16
2022-02-16,121,32
2022-05-27,401,48
2022-05-30,478,8
2022-06-24,442,20
2022-06-27,278,80
2022-05-06,98,16
2022-05-16,65,64
2022-06-24,161,20
2022-06-20,295,96
2022-06-07,119,16
2022-06-27,143,64
2022-04-04,62,8
2022-06-17,252,64
2022-07-11,299,16
2022-08-15,411,16
2022-05-09,306,8
2022-06-20,405,128
2022-08-15,415,16
2022-06-27,394,16
2022-08-12,269,16
2022-04-04,300,48
2022-07-18,324,16
2022-07-01,364,64
2022-04-04,308,32
2022-05-13,98,16
2022-06-24,288,16
2022-06-24,34,60
2022-03-07,205,24
2022-06-07,275,1
2022-08-08,391,32
2022-04-25,472,16
2022-06-17,314,16
2022-04-11,124,32
2022-06-13,336,32
2022-03-03,212,64
2022-07-18,433,32
2022-05-30,154,1
2022-03-21,463,32
2022-06-20,382,16
2022-05-23,447,16
2022-06-27,104,32
2022-07-01,133,48
2022-07-04,173,32
2022-06-10,9,16
2022-03-21,176,48
2022-06-17,429,32
2022-04-08,212,96
2022-06-13,192,16
2022-06-24,329,16
2022-07-01,436,40
2022-05-27,451,20
2022-03-21,49,48
2022-05-06,209,64
2022-03-14,483,16
2022-08-15,42,8
2022-06-03,233,80
2022-08-12,476,96
2022-05-02,277,64
2022-05-06,350,16
2022-07-04,447,32
2022-08-15,292,16
2022-05-27,80,20
2022-08-12,311,32
2022-04-20,193,128
2022-05-27,306,8
2022-03-07,421,64
2022-05-06,223,32
2022-04-22,45,64
2022-05-27,476,16
2022-07-11,231,32
2022-02-24,194,48
2022-03-07,265,80
2022-07-29,370,20
2022-03-14,240,16
2022-07-01,269,32
2022-07-11,116,16
2022-06-07,375,32
2022-06-20,141,16
