component_number,date,quantity
606,2022-02-16,100264
251,2022-02-16,9258
1236,2022-02-16,2468
1031,2022-02-16,3121
899,2022-02-16,1612
776,2022-02-16,9485
1146,2022-02-16,21239
1237,2022-02-16,1047
536,2022-02-16,172
859,2022-02-16,387
1282,2022-02-16,149081
552,2022-02-16,144
798,2022-02-16,6283
206,2022-02-16,14958
600,2022-02-16,17220
578,2022-02-16,11
742,2022-02-16,810
1081,2022-02-16,3999
1293,2022-02-16,2043
1195,2022-02-16,4842
64,2022-02-16,392
403,2022-02-16,826
826,2022-02-16,8910
416,2022-02-16,118676
961,2022-02-16,1000
1124,2022-02-16,4482
502,2022-02-16,2810
106,2022-02-16,16968
341,2022-02-16,1339
623,2022-02-16,22204
313,2022-02-16,850
622,2022-02-16,786
624,2022-02-16,1142
242,2022-02-16,21221
1100,2022-02-16,6530
1026,2022-02-16,341
1346,2022-02-16,8339
1234,2022-02-16,293
1073,2022-02-16,1123
240,2022-02-16,935
697,2022-02-16,588
476,2022-02-16,6942
924,2022-02-16,1518
189,2022-02-16,21681
374,2022-02-16,2504
229,2022-02-16,434
1070,2022-02-16,190
1289,2022-02-16,5867
759,2022-02-16,1129
386,2022-02-16,5128
483,2022-02-16,19
193,2022-02-16,3893
620,2022-02-16,120263
535,2022-02-16,61727
1280,2022-02-16,4914
1009,2022-02-16,413
1322,2022-02-16,33
864,2022-02-16,10445
146,2022-02-16,847
617,2022-02-16,3130
848,2022-02-16,1627
250,2022-02-16,14858
1188,2022-02-16,95
103,2022-02-16,9599
845,2022-02-16,2156
1391,2022-02-16,6586
644,2022-02-16,13370
498,2022-02-16,46472
952,2022-02-16,1258
981,2022-02-16,34
1165,2022-02-16,15190
1238,2022-02-16,542
5,2022-02-16,406
870,2022-02-16,34829
475,2022-02-16,10965
1275,2022-02-16,2685
1161,2022-02-16,6114
1163,2022-02-16,5
426,2022-02-16,5970
362,2022-02-16,380
330,2022-02-16,764
879,2022-02-16,1738
1133,2022-02-16,748
1222,2022-02-16,4019
959,2022-02-16,548
488,2022-02-16,1
448,2022-02-16,2517
1388,2022-02-16,5387
711,2022-02-16,4585
694,2022-02-16,25024
447,2022-02-16,1478
627,2022-02-16,998
181,2022-02-16,72
1302,2022-02-16,4664
905,2022-02-16,463
138,2022-02-16,1656
575,2022-02-16,5513
1199,2022-02-16,2698
1148,2022-02-16,6897
514,2022-02-16,6429
980,2022-02-16,1976
781,2022-02-16,2319
1090,2022-02-16,638
464,2022-02-16,891
1069,2022-02-16,346
1265,2022-02-16,24728
1228,2022-02-16,523
1242,2022-02-16,1498
1269,2022-02-16,4530
1136,2022-02-16,1884
495,2022-02-16,161
388,2022-02-16,46
679,2022-02-16,1412
777,2022-02-16,1026
503,2022-02-16,2188
306,2022-02-16,2576
136,2022-02-16,5986
421,2022-02-16,4058
513,2022-02-16,124
823,2022-02-16,6945
201,2022-02-16,8940
1003,2022-02-16,11719
885,2022-02-16,945
1127,2022-02-16,5708
44,2022-02-16,264
1112,2022-02-16,540
97,2022-02-16,1967
1224,2022-02-16,1608
735,2022-02-16,1551
613,2022-02-16,665
82,2022-02-16,4
59,2022-02-16,93522
366,2022-02-16,324
512,2022-02-16,9772
839,2022-02-16,863
1190,2022-02-16,26145
614,2022-02-16,3
154,2022-02-16,2366
394,2022-02-16,5056
245,2022-02-16,52076
1085,2022-02-16,34693
65,2022-02-16,26159
641,2022-02-16,3960
53,2022-02-16,6263
286,2022-02-16,1796
958,2022-02-16,1798
1255,2022-02-16,6294
479,2022-02-16,120623
326,2022-02-16,616
95,2022-02-16,1147
1099,2022-02-16,2814
1205,2022-02-16,1078
1324,2022-02-16,16804
88,2022-02-16,984
289,2022-02-16,304
1013,2022-02-16,73016
1147,2022-02-16,21037
909,2022-02-16,1350
1254,2022-02-16,25
567,2022-02-16,4865
546,2022-02-16,49032
227,2022-02-16,6450
913,2022-02-16,520
13,2022-02-16,388544
208,2022-02-16,6643
1212,2022-02-16,53
1017,2022-02-16,1422
332,2022-02-16,27896
1051,2022-02-16,915
376,2022-02-16,36161
1005,2022-02-16,2867
